gene787	K01093
gene788	K01095
gene789	K01096
gene790	K01099
gene791	K01101
gene792	K01102
gene793	K01103
gene794	K01104
gene795	K01106
gene796	K01109
gene797	K01110
gene798	K01111
gene799	K01112
gene800	K01113
gene801	K01114
gene802	K01115
gene803	K01117
gene804	K01118
gene805	K01119
gene806	K01120
gene807	K01121
gene808	K01126
gene809	K01128
gene810	K01129
gene811	K01130
gene812	K01132
gene813	K01133
gene814	K01134
gene815	K01135
gene816	K01136
gene817	K01137
gene818	K01138
gene819	K01139
gene820	K01141
gene821	K01142
gene822	K01143
gene823	K01144
gene824	K01146
gene825	K01147
gene826	K01150
gene827	K01151
gene828	K01152
gene829	K01153
gene830	K01154
gene831	K01155
gene832	K01156
gene833	K01157
gene834	K01158
gene835	K01159
gene836	K01160
gene837	K01161
gene838	K01163
gene839	K01166
gene840	K01167
gene841	K01169
gene842	K01170
gene843	K01172
gene844	K01173
gene845	K01174
gene846	K01175
gene847	K01176
gene848	K01177
gene849	K01178
gene850	K01179
gene851	K01180
gene852	K01181
gene853	K01182
gene854	K01183
gene855	K01184
gene856	K01185
gene857	K01186
gene858	K01187
gene859	K01188
gene860	K01190
gene861	K01191
gene862	K01192
gene863	K01193
gene864	K01194
gene865	K01195
gene866	K01196
gene867	K01197
gene868	K01198
gene869	K01199
gene870	K01200
gene871	K01201
gene872	K01202
gene873	K01204
gene874	K01205
gene875	K01206
gene876	K01207
gene877	K01208
gene878	K01209
gene879	K01210
gene880	K01212
gene881	K01213
gene882	K01214
gene883	K01215
gene884	K01216
gene885	K01218
gene886	K01219
gene887	K01220
gene888	K01222
gene889	K01223
gene890	K01224
gene891	K01225
gene892	K01226
gene893	K01227
gene894	K01228
gene895	K01230
gene896	K01232
gene897	K01233
gene898	K01234
gene899	K01235
gene900	K01236
gene901	K01238
gene902	K01239
gene903	K01241
gene904	K01243
gene905	K01246
gene906	K01247
gene907	K01249
gene908	K01250
gene909	K01251
gene910	K01252
gene911	K01253
gene912	K01255
gene913	K01256
gene914	K01258
gene915	K01259
gene916	K01261
gene917	K01262
gene918	K01263
gene919	K01264
gene920	K01265
gene921	K01266
gene922	K01267
gene923	K01268
gene924	K01269
gene925	K01270
gene926	K01271
gene927	K01273
gene928	K01274
gene929	K01275
gene930	K01277
gene931	K01278
gene932	K01280
gene933	K01281
gene934	K01282
gene935	K01283
gene936	K01284
gene937	K01286
gene938	K01289
gene939	K01293
gene940	K01295
gene941	K01296
gene942	K01297
gene943	K01299
gene944	K01301
gene945	K01303
gene946	K01304
gene947	K01305
gene948	K01308
gene949	K01312
gene950	K01317
gene951	K01318
gene952	K01322
gene953	K01336
gene954	K01337
gene955	K01338
gene956	K01341
gene957	K01342
gene958	K01344
gene959	K01347
gene960	K01354
gene961	K01355
gene962	K01356
gene963	K01358
gene964	K01361
gene965	K01362
gene966	K01363
gene967	K01364
gene968	K01365
gene969	K01366
gene970	K01369
gene971	K01372
gene972	K01376
gene973	K01386
gene974	K01387
gene975	K01390
gene976	K01392
gene977	K01400
gene978	K01401
gene979	K01405
gene980	K01406
gene981	K01407
gene982	K01408
gene983	K01409
gene984	K01411
gene985	K01412
gene986	K01414
gene987	K01415
gene988	K01417
gene989	K01419
gene990	K01420
gene991	K01421
gene992	K01422
gene993	K01423
gene994	K01424
gene995	K01425
gene996	K01426
gene997	K01428
gene998	K01429
gene999	K01430
gene1000	K01431
gene1001	K01433
gene1002	K01434
gene1003	K01436
gene1004	K01438
gene1005	K01439
gene1006	K01440
gene1007	K01442
gene1008	K01443
gene1009	K01444
gene1010	K01446
gene1011	K01447
gene1012	K01448
gene1013	K01449
gene1014	K01450
gene1015	K01451
gene1016	K01452
gene1017	K01453
gene1018	K01454
gene1019	K01455
gene1020	K01456
gene1021	K01457
gene1022	K01458
gene1023	K01459
gene1024	K01460
gene1025	K01461
gene1026	K01462
gene1027	K01463
gene1028	K01464
gene1029	K01465
gene1030	K01466
gene1031	K01467
gene1032	K01468
gene1033	K01470
gene1034	K01471
gene1035	K01473
gene1036	K01474
gene1037	K01476
gene1038	K01477
gene1039	K01478
gene1040	K01479
gene1041	K01480
gene1042	K01482
gene1043	K01483
gene1044	K01484
gene1045	K01485
gene1046	K01486
gene1047	K01487
gene1048	K01488
gene1049	K01489
gene1050	K01490
gene1051	K01491
gene1052	K01492
gene1053	K01493
gene1054	K01494
gene1055	K01495
gene1056	K01496
gene1057	K01497
gene1058	K01499
gene1059	K01500
gene1060	K01501
gene1061	K01502
gene1062	K01503
gene1063	K01505
gene1064	K01506
gene1065	K01507
gene1066	K01509
gene1067	K01510
gene1068	K01512
gene1069	K01513
gene1070	K01514
gene1071	K01515
gene1072	K01516
